,precision,recall,f1-score,support
0,0.8454545454545455,0.577639751552795,0.6863468634686347,161.0
1,0.9717128260285023,0.9971304011919871,0.9842575443948143,18121.0
2,0.9913506320691949,0.9266169154228856,0.9578913532626165,1608.0
3,0.9607843137254902,0.5287769784172662,0.6821345707656613,556.0
4,0.9586656997824511,0.9136143745680718,0.9355980184005662,1447.0
accuracy,0.9714520623030193,0.9714520623030193,0.9714520623030193,0.9714520623030193
macro avg,0.9455936034120368,0.7887556842306012,0.8492456700584586,21893.0
weighted avg,0.9710868069549408,0.9714520623030193,0.9692412760706388,21893.0
